Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Beach,Area,Mile Marker,High Tide Dist.,Longitude,Latitude,Est. / Exact,Length,Width,Weight,Sex,Entangled?,Entangling Item,Injured?,Injury Desc.,Notes
06-05-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 24 IN.  Original CCL on form was 24 in. Original Weight on form was 45 lbs. ANIMAL REMOVED FROM WATER COOLING SYSTEM & RELEASED ALIVE AT DANA POINT; ANIMAL IN NO APPARENT DISTRESS; METAL TAG #X762 ATTACHED TO RIGHT FRONT FLIPPE
03-06-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 24 IN.  Original CCL on form was 23.75 in. Original Weight on form was 50 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT SAN ONOFRE STATE BEACH; ANIMAL TAGGED WITH MONEL TAG # 

X-763 ON LEFT FRONT FLIPPER & MONEL "
13-07-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 25.1 IN.  Original CCL on form was 25.1 in. Original Weight on form was 40 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & HELD AT SCE LABORATORY TO RECOVER FROM EXHAUSTION (ANIMAL WAS SLUGGISH, MINOR LACERATIONS ON CARAPACE, B"
30-07-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 22.1 IN.  Original CCL on form was 22.1 in. Original Weight on form was 35 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT PENDLETON BEACH; NMFS METAL TAG #X-765 PLACED ON RIGHT FRONT FLIPPER & TAG #X-766 PLACED ON 
13-08-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 21.75 IN.  Original CCL on form was 21.75 in. Original Weight on form was 50 lbs. ANIMAL REMOVED FROM WATER COOLING SYSTEM & RELEASED AT PENDLETON BEACH; METAL TAG #X-772 PLACED ON RIGHT FRONT FLIPPER; METAL TAG #X-773 PLACEDON
09-09-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 27.5 IN.  Original CCL on form was 27.5 in. Original Weight on form was 65 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT PENDLETON BEACH; METALTAG # X-767 APPLIED TO LEFT FRONT FLIPPER; METAL TAG # 768 APPLIED TO 
16-09-92,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 18.75 IN.  Original CCL on form was 18.75 in. Original Weight on form was 35 lbs. ANIMAL REMOVED FROM WATER COOLING SYSTEM & RELEASED AT PENDLETON BEACH; METAL TAG # X-770 AFFIXED TO LEFT FRONT FLIPPER; METAL TAG # X-771 AFFIXE
10-11-92,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"PEBBLE BEACH, OFF 17-MILE DRIVE NEAR CHINA ROCK",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 93 CM.  Original Weight on form was 65 lbs. ORGANS AUTOBSYED
01-10-93,00:00,,,Turtle,Green sea turtle,,,HOMER (BISHOP BEACH),ALASKA,,,,,,,,,,,,,,CARCASS
01-10-93,00:00,,,Turtle,Green sea turtle,,ALIVE,SELDOVIA,ALASKA,,,,,,,,,,,,,,SIGHTING
20-10-93,00:00,,,Turtle,Green sea turtle,,,HOMER,ALASKA,,,,,,,,,,,,,,"SHOULDER, SKIN AND MUSCLE TO PRATT MUSEUM"
21-03-94,00:00,,,Turtle,Green Sea Turtle,,Dead,,"Takenich Creek, OR",,,,,,,,,,,,,,
21-03-94,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,"Tahkenich Creek, OR",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
27-04-94,00:00,,,Turtle,Green sea turtle,,,"AVILA BEACH, DIABLO CANYON NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 97 CM.  Original Weight on form was 55 lbs. ANIMAL REMOVED FROM INTAKE COVE & RELEASED UNHARMED APPROXIMATELY 0.5 MILE OFFSHORE FROM POWER PLANT
09-09-94,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 19 IN.  Original CCL on form was 19 in. Original Weight on form was 25 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED IMMEDIATELY AT PENDLETON BEACH IN GOOD CONDITION; METAL NMFS TAGS PLACED ON FRONT FLIPPERS. X-182 O
14-09-94,00:00,,,Turtle,Green sea turtle,,Moderate Decomposition,"SAN DIEGO, MISSION BAY",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 62 CM.  LENGTH CURVILINEAR
28-10-94,00:00,,,Turtle,Green sea turtle,,ALIVE,"HUNTINGTON BEACH, HUNTINGTON HARBOR",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 24 IN (estimated).  Original CCL on form was 24 in. ANIMAL PICKED UP BY ORANGE COUNTY HARBOR PATROL AT ENTRANCE TO MARINA; VERY LETHARGIC; EYES CLOUDED; UNABLE TO KEEP HEAD ERECT; ANIMAL TAKEN TO ENTRANCE OF ANAHEIM BAY & RELEA
09-08-95,00:00,,,Turtle,Green sea turtle,,FRESH DEAD,"MISSION BEACH, TECOLOTE SHORES BEACH LIFEGUARD TOWER, MISSION BAY",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 76 CM.  LENGTH = CURVILINEAR CARAPACE LENGTH;  3 OBVIOUS PROPELLER CUTS ON CARAPACE; 
20-08-95,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"HUNTINGTON BEACH, BOLSA CHICA STATE BEACH, LIFEGUARD TOWER 24",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 47 CM.  Original Weight on form was 20 lbs. LENGTH = CURVILINEAR CARAPACE LENGTH
10-10-95,00:00,,,Turtle,Green sea turtle,,FRESH DEAD,"SEAL BEACH, SAN GABRIEL RIVER MOUTH, 1ST STREET",CALIFORNIA,,,,,,,,,,,,,,Original Weight on form was 70 lbs. NO EXTERNAL SIGNS OF INJURY
19-01-96,00:00,,,Turtle,Green sea turtle,,Moderate Decomposition,"CORONADO, SILVER STRAND STATE BEACH - JUST S. OF CITY ON BAYSIDE OF STRAND",CALIFORNIA,,,,,,,,,,,,,,QUITE DECOMPOSED WITH BROKEN SHELL; LOOKED LIKE IT MAY HAVE BEEN HIT BY A BOAT OR SOME OTHER BLUNT OBJECT TO BREAK SHELL. 
